guid,ttp
d400090a-d8ca-4be0-982e-c70598a23de9,T1003
2536dee2-12fb-459a-8c37-971844fa73be,T1003.001
5c2571d0-1572-416d-9676-812e64ca9f44,T1003.002
9d77fed7-05f8-476e-a81b-8ff0472c64d0,T1003.002
a90c2f4d-6726-444e-99d2-a00cd7c20480,T1003.002
eeb9751a-d598-42d3-b11c-c122d9c3f6c7,T1003.002
21748c28-2793-4284-9e07-d6d028b66702,T1003.003
542bb97e-da53-436b-8e43-e0a7d31a6c24,T1003.003
56506854-89d6-46a3-9804-b7fde90791f9,T1003.005
88f6327e-51ec-4bbf-b2e8-3fea534eab8b,T1006
5f864a3f-8ce9-45c0-812c-bdf7d8aeacc3,T1007
8f7578c4-9863-4d83-875c-a565573bbdf0,T1012
038263cb-00f4-4b0a-98ae-0696c67e1752,T1016
121de5c6-5818-4868-b8a7-8fd07c455c1b,T1016
970ab6a1-0157-4f3f-9a73-ec4166754b23,T1016
dafaf052-5508-402d-bf77-51e0700c02e2,T1016
2d5a61f5-0447-4be4-944a-1f8530ed6574,T1018
52ab5108-3f6f-42fb-8ba3-73bc054f22c8,T1018
64ede6ac-b57a-41c2-a7d1-32c6cd35397d,T1018
6db1f57f-d1d5-4223-8a66-55c9c65a9592,T1018
97e89d9e-e3f5-41b5-a90f-1e0825df0fdf,T1018
baa01aaa-5e13-45ec-8a0d-e46c93c9760f,T1018
e3cf5123-f6c9-4375-bdf2-1bb3ba43a1ad,T1018
f1bf6c8f-9016-4edf-aff9-80b65f5d711f,T1018
9c780d3d-3a14-4278-8ee5-faaeb2ccfbe0,T1020
2f840dd4-8a2e-4f44-beb3-6b2399ea3771,T1021.001
7382a43e-f19c-46be-8f09-5c63af7d3e2b,T1021.001
74ace21e-a31c-4f7d-b540-53e4eb6d1f73,T1021.001
6dc74eb1-c9d6-4c53-b3b5-6f50ae339673,T1021.003
5295bd61-bd7e-4744-9d52-85962a4cf2d6,T1021.006
129edb75-d7b8-42cd-a8ba-1f3db64ec4ad,T1027
450e7218-7915-4be4-8b9b-464a49eafcec,T1027
8b3f4ed6-077b-4bdd-891c-2d237f19410f,T1027
e2d85e66-cb66-4ed7-93b1-833fc56c9319,T1027
1392bd0f-5d5a-429e-81d9-eb9d4d4d5b3b,T1033
dcb6cdee-1fb0-4087-8bf8-88cfd136ba51,T1033
51005ac7-52e2-45e0-bdab-d17c6d4916cd,T1036
24136435-c91a-4ede-9da1-8b284a1c1a23,T1036.003
3a2a578b-0a01-46e4-92e3-62e2859b42f0,T1036.003
5ba5a3d1-cf3c-4499-968a-a93155d1f717,T1036.003
83810c46-f45e-4485-9ab6-8ed0e9e6ed7f,T1036.003
ac9d0fc3-8aa8-4ab5-b11f-682cd63b40aa,T1036.003
c3d24a39-2bfe-4c6a-b064-90cd73896cb0,T1036.003
c7fa0c3b-b57f-4cba-9118-863bf4e653fc,T1036.003
b721c6ef-472c-4263-a0d9-37f1f4ecff66,T1036.004
f9f2fe59-96f7-4a7d-ba9f-a9783200d4c9,T1036.004
35eb8d16-9820-4423-a2a1-90c4f5edd9ca,T1036.005
d6042746-07d4-4c92-9ad8-e644c114a231,T1037.001
855fb8b4-b8ab-4785-ae77-09f5df7bff55,T1040
b5656f67-d67f-4de8-8e62-b5581630f528,T1040
c67ba807-f48b-446e-b955-e4928cd1bf91,T1040
0fd48ef7-d890-4e93-a533-f7dedd5191d3,T1047
10447c83-fc38-462a-a936-5102363b1c43,T1047
5750aa16-0e59-4410-8b9a-8a47ca2788e2,T1047
718aebaa-d0e0-471a-8241-c5afa69c7414,T1047
7db7a7f9-9531-4840-9b30-46220135441c,T1047
9c8ef159-c666-472f-9874-90c8d60d136b,T1047
b3bdfc91-b33e-4c6d-a5c8-d64bee0276b3,T1047
c107778c-dcf5-47c5-af2e-1d058a3df3ea,T1047
57799bc2-ad1e-4130-a793-fb0c385130ba,T1048.003
6aa58451-1121-4490-a8e9-1dada3f1c68c,T1048.003
dd4b4421-2e25-4593-90ae-7021947ad12e,T1048.003
ec3a835e-adca-4c7c-88d2-853b69c11bb9,T1048.003
0940a971-809a-48f1-9c4d-b1d785e96ee5,T1049
f069f0f1-baad-4831-aa2b-eddac4baac4a,T1049
4a6c0dc4-0f2a-4203-9298-a5a9bdc21ed8,T1053.002
2e5eac3e-327b-4a88-a0c0-c4057039a8dd,T1053.005
42f53695-ad4a-4546-abb6-7d837f644a71,T1053.005
af9fd58f-c4ac-4bf2-a9ba-224b71ff25fd,T1053.005
cd925593-fbb4-486d-8def-16cbdf944bf4,T1053.005
dda6fc7b-c9a6-4c18-b98d-95ec6542af6d,T1053.005
e16b3b75-dc9e-4cde-a23d-dfa2d0507b3b,T1053.005
e895677d-4f06-49ab-91b6-ae3742d0a2ba,T1053.005
fec27f65-db86-4c2d-b66c-61945aee87c2,T1053.005
562427b4-39ef-4e8c-af88-463a78e70b9c,T1055.012
d9b633ca-8efb-45e6-b838-70f595c6ae26,T1056.001
2b162bfd-0928-4d4c-9ec3-4d9f88374b52,T1056.002
3b3809b6-a54b-4f5b-8aff-cb51f2e97b34,T1057
640cbf6d-659b-498b-ba53-f6dd1a1cc02c,T1057
b51239b4-0129-474f-a2b4-70f855b9f2c2,T1057
c5806a4f-62b8-4900-980b-c7ec004e9908,T1057
4396927f-e503-427b-b023-31049b9b09a6,T1059.001
49eb9404-5e0f-4031-a179-b40f7be385e3,T1059.001
8a2ad40b-12c7-4b25-8521-2737b0a415af,T1059.001
a538de64-1c74-46ed-aa60-b995ed302598,T1059.001
fa050f5e-bc75-4230-af73-b6fd7852cd73,T1059.001
127b4afe-2346-4192-815c-69042bec570e,T1059.003
d0eb3597-a1b3-4d65-b33b-2cda8d397f20,T1059.003
1f454dd6-e134-44df-bebb-67de70fb6cd8,T1069.001
69119e58-96db-4110-ad27-954e48f3bb13,T1069.001
7413be50-be8e-430f-ad4d-07bf197884b2,T1069.001
a580462d-2c19-4bc7-8b9a-57a41b7d3ba4,T1069.001
0afb5163-8181-432e-9405-4322710c0c37,T1069.002
3d1fcd2a-e51c-4cbe-8d84-9a843bad8dc8,T1069.002
6d5d8c96-3d2a-4da9-9d6d-9a9d341899a7,T1069.002
9f4e344b-8434-41b3-85b1-d38f29d148d0,T1069.002
dd66d77d-8998-48c0-8024-df263dc2ce5d,T1069.002
0512d214-9512-4d22-bde7-f37e058259b3,T1070.005
09210ad5-1ef2-4077-9ad3-7351e13e9222,T1070.005
14c38f32-6509-46d8-ab43-d53e32d2b131,T1070.005
4299eff5-90f1-4446-b2f3-7f4f5cfd5d62,T1070.005
99c657aa-ebeb-4179-a665-69288fdd12b8,T1070.005
81c13829-f6c9-45b8-85a6-053366d55297,T1071.001
1700f5d6-5a44-487b-84de-bc66f507b0a6,T1071.004
3efc144e-1af8-46bb-8ca2-1376bb6db8b6,T1071.004
fef31710-223a-40ee-8462-a396d6b66978,T1071.004
a57fbe4b-3440-452a-88a7-943531ac872a,T1074.001
